Su,Sy,A5,Bhn,E,G,mu,Ro
588,350,3.0,234.0,160000,64000,0.25,7160
637,380,3.0,240.0,160000,64000,0.25,7160
686,410,2.0,263.0,160000,64000,0.25,7160
784,470,1.5,295.0,160000,64000,0.25,7160
400,180,4.0,220.0,160000,64000,0.25,7160
360,240,26.0,170.0,206000,80000,0.3,7860
630,370,14.0,170.0,206000,80000,0.3,7860
270,180,34.0,170.0,206000,80000,0.3,7860
270,240 max,34.0,170.0,206000,80000,0.3,7860
270,225 max,38.0,170.0,206000,80000,0.3,7860
330,155,27.0,170.0,206000,80000,0.3,7860
360,235,26.0,170.0,206000,80000,0.3,7860
410,255,23.0,170.0,206000,80000,0.3,7860
340,215,25.0,170.0,206000,80000,0.3,7860
340,215,25.0,170.0,206000,80000,0.3,7860
400,275,22.0,170.0,206000,80000,0.3,7860
400,255,23.0,170.0,206000,80000,0.3,7860
490,295,19.0,170.0,206000,80000,0.3,7860
490,355,20.0,170.0,206000,80000,0.3,7860
490,355,22.0,170.0,206000,80000,0.3,7860
590,335,15.0,170.0,206000,80000,0.3,7860
690,365,10.0,170.0,206000,80000,0.3,7860
490,350,16.0,170.0,206000,80000,0.3,7860
690,500,11.0,170.0,206000,80000,0.3,7860
440,270,21.0,170.0,206000,80000,0.3,7860
490,305,20.0,170.0,206000,80000,0.3,7860
570,365,18.0,170.0,206000,80000,0.3,7860
630,400,17.0,170.0,206000,80000,0.3,7860
670,430,16.0,170.0,206000,80000,0.3,7860
670,430,16.0,170.0,206000,80000,0.3,7860
710,460,15.0,170.0,206000,80000,0.3,7860
670,430,16.0,170.0,206000,80000,0.3,7860
750,490,14.0,170.0,206000,80000,0.3,7860
710,410,14.0,170.0,206000,80000,0.3,7860
750,490,14.0,170.0,206000,80000,0.3,7860
470,290,22.0,170.0,206000,80000,0.3,7860
670,500,16.0,170.0,206000,80000,0.3,7860
1500,1350,6.0,170.0,206000,80000,0.3,7860
780,590,14.0,170.0,206000,80000,0.3,7860
830,620,13.0,170.0,206000,80000,0.3,7860
880,600,12.0,170.0,206000,80000,0.3,7860
880,715,12.0,170.0,206000,80000,0.3,7860
880,685,12.0,170.0,206000,80000,0.3,7860
980,700,9.0,170.0,206000,80000,0.3,7860
1200,850,7.0,170.0,206000,80000,0.3,7860
1370,1180,6.0,170.0,206000,80000,0.3,7860
440,270,24.0,170.0,206000,80000,0.3,7860
450,295,20.0,170.0,206000,80000,0.3,7860
780,600,14.0,170.0,206000,80000,0.3,7860
880,700,12.0,170.0,206000,80000,0.3,7860
980,770,11.0,170.0,206000,80000,0.3,7860
980,815,11.0,170.0,206000,80000,0.3,7860
1320,1125,7.0,170.0,206000,80000,0.3,7860
900,720,13.0,170.0,206000,80000,0.3,7860
1030,810,10.0,170.0,206000,80000,0.3,7860
980,770,11.0,170.0,206000,80000,0.3,7860
1100,800,9.0,170.0,206000,80000,0.3,7860
1200,850,8.0,170.0,206000,80000,0.3,7860
1030,850,12.0,170.0,206000,80000,0.3,7860
420,225,20.0,170.0,206000,80000,0.3,7860
630,440,16.0,170.0,206000,80000,0.3,7860
730,540,14.0,170.0,206000,80000,0.3,7860
830,635,11.0,170.0,206000,80000,0.3,7860
440,245,18.0,170.0,206000,80000,0.3,7860
440,240,24.0,170.0,206000,80000,0.3,7860
900,700,14.0,170.0,206000,80000,0.3,7860
420,225,20.0,170.0,206000,80000,0.3,7860
590,410,16.0,170.0,206000,80000,0.3,7860
1000,800,7.0,170.0,206000,80000,0.3,7860
510,195,45.0,170.0,206000,80000,0.3,7860
510,205,40.0,170.0,206000,80000,0.3,7860
510,205,40.0,170.0,206000,80000,0.3,7860
450,185,45.0,170.0,206000,80000,0.3,7860
540,240,30.0,170.0,206000,80000,0.3,7860
590,240,30.0,170.0,206000,80000,0.3,7860
540,240,30.0,170.0,206000,80000,0.3,7860
540,240,30.0,170.0,206000,80000,0.3,7860
540,240,30.0,170.0,206000,80000,0.3,7860
540,240,30.0,170.0,206000,80000,0.3,7860
530,205,45.0,170.0,206000,80000,0.3,7860
490,216,40.0,170.0,206000,80000,0.3,7860
470,186,45.0,170.0,206000,80000,0.3,7860
480,195,45.0,170.0,206000,80000,0.3,7860
530,205,45.0,170.0,206000,80000,0.3,7860
950,600,8.0,170.0,206000,80000,0.3,7860
150,150,16.0,170.0,85000,34000,0.25,7160
200,200,16.0,170.0,85000,34000,0.25,7160
250,250,16.0,170.0,85000,34000,0.25,7160
300,300,16.0,170.0,85000,34000,0.25,7160
350,350,16.0,170.0,85000,34000,0.25,7160
500,320,16.0,170.0,169000,70000,0.2,7160
600,370,16.0,170.0,169000,70000,0.2,7160
700,420,16.0,170.0,169000,70000,0.2,7160
800,480,16.0,170.0,169000,70000,0.2,7160
400,180,4.0,170.0,160000,64000,0.27,7160
500,260,4.0,170.0,160000,64000,0.27,7160
460,375,8.0,170.0,206000,80000,0.3,7860
360,195,26.0,170.0,206000,80000,0.3,7860
440,305,20.0,170.0,206000,80000,0.3,7860
340,175,35.0,170.0,206000,80000,0.3,7860
470,355,20.0,170.0,206000,80000,0.3,7860
400,235,16.0,170.0,206000,80000,0.3,7860
490,275,19.0,170.0,206000,80000,0.3,7860
520,335,19.0,170.0,206000,80000,0.3,7860
520,335,19.0,170.0,206000,80000,0.3,7860
510,325,20.0,170.0,206000,80000,0.3,7860
620,460,12.0,170.0,206000,80000,0.3,7860
570,450,20.0,170.0,206000,80000,0.3,7860
420,300,16.0,170.0,206000,80000,0.3,7860
440,340,12.0,170.0,206000,80000,0.3,7860
420,250,22.0,170.0,206000,80000,0.3,7860
480,300,21.0,170.0,206000,80000,0.3,7860
540,340,20.0,170.0,206000,80000,0.3,7860
600,370,19.0,170.0,206000,80000,0.3,7860
630,400,18.0,170.0,206000,80000,0.3,7860
650,430,16.0,170.0,206000,80000,0.3,7860
700,460,15.0,170.0,206000,80000,0.3,7860
750,500,14.0,170.0,206000,80000,0.3,7860
780,510,13.0,170.0,206000,80000,0.3,7860
700,490,15.0,170.0,206000,80000,0.3,7860
770,570,14.0,170.0,206000,80000,0.3,7860
800,600,13.0,170.0,206000,80000,0.3,7860
880,640,12.0,170.0,206000,80000,0.3,7860
980,680,8.0,170.0,206000,80000,0.3,7860
1226,1079,9.0,170.0,206000,80000,0.3,7860
830,630,13.0,170.0,206000,80000,0.3,7860
880,660,12.0,170.0,206000,80000,0.3,7860
930,735,11.0,170.0,206000,80000,0.3,7860
860,680,12.0,170.0,206000,80000,0.3,7860
1226,1079,10.0,170.0,206000,80000,0.3,7860
930,680,10.0,170.0,206000,80000,0.3,7860
1100,800,9.0,170.0,206000,80000,0.3,7860
1100,900,10.0,170.0,206000,80000,0.3,7860
1200,1000,9.0,170.0,206000,80000,0.3,7860
588,392,25.0,170.0,206000,80000,0.3,7860
412,177,20.0,170.0,206000,80000,0.3,7860
539,343,25.0,170.0,206000,80000,0.3,7860
637,441,20.0,170.0,206000,80000,0.3,7860
735,539,12.0,170.0,206000,80000,0.3,7860
430,205,22.0,170.0,206000,80000,0.3,7860
785,588,15.0,170.0,206000,80000,0.3,7860
520,205,40.0,170.0,206000,80000,0.3,7860
520,205,40.0,170.0,206000,80000,0.3,7860
520,205,40.0,170.0,206000,80000,0.3,7860
480,175,40.0,170.0,206000,80000,0.3,7860
520,205,40.0,170.0,206000,80000,0.3,7860
480,175,40.0,170.0,206000,80000,0.3,7860
520,205,40.0,170.0,206000,80000,0.3,7860
930,685,15.0,170.0,206000,80000,0.3,7860
560,205,40.0,170.0,206000,80000,0.3,7860
590,205,40.0,170.0,206000,80000,0.3,7860
880,560,8.0,170.0,206000,80000,0.3,7860
150,150,16.0,170.0,85000,34000,0.25,7160
200,200,16.0,170.0,85000,34000,0.25,7160
250,250,16.0,170.0,85000,34000,0.25,7160
300,300,16.0,170.0,85000,34000,0.25,7160
350,350,16.0,170.0,85000,34000,0.25,7160
500,320,16.0,170.0,169000,70000,0.2,7160
600,370,16.0,170.0,169000,70000,0.2,7160
700,420,16.0,170.0,169000,70000,0.2,7160
800,480,16.0,170.0,169000,70000,0.2,7160
400,180,4.0,170.0,160000,64000,0.27,7160
500,260,4.0,170.0,160000,64000,0.27,7160
